id,name,price,weight
1,T-Shirt,32.19,2.48
2,Dress,417.77,0.8
3,Toothpaste,158.66,4.68
4,Piano,148.1,1.63
5,Scooter,361.67,1.88
6,Gaming Console,203.94,1.92
7,Oven,306.1,1.52
8,Backpack,206.68,4.93
9,Laptop,222.86,3.6
10,Shampoo,85.49,4.85
11,Drums,392.04,1.55
12,Perfume,247.41,3.89
13,Ice Cream,163.14,2.58
14,Chair,120.6,0.53
15,Mouse,99.03,1.48
16,Fridge,465.76,3.11
17,Deodorant,107.85,0.51
18,Microphone,100.19,1.06
19,Tablet,136.05,3.46
20,Smartphone,429.42,0.42
21,Chocolate,117.9,2.56
22,Book,251.97,0.34
23,Table,194.61,3.09
24,Jacket,172.57,4.79
25,Keyboard,160.85,3.73
26,Chips,289.03,4.54
27,Burger,394.13,1.6800000000000002
28,Charger,37.49,0.62
29,Sunglasses,130.58,2.5
30,Microwave,171.72,3.27
31,Sneakers,126.36,4.12
32,Fan,289.62,1.94
33,Guitar,258.77,4.11
34,Headphones,321.15,4.0
35,Camera,134.54,3.3
36,Coffee Mug,296.41,1.11
37,Bicycle,215.82,1.94
38,Pizza,378.14,1.15
39,Sofa,91.93,4.06
40,TV,497.07,1.52
41,Skateboard,232.46,1.63
42,Motorcycle,296.94,0.92
43,Lotion,143.67,3.26
44,Washing Machine,35.98,1.35
45,Car,193.02,4.35
46,Soap,255.08,3.68
47,Water Bottle,479.47,1.29
48,Speaker,309.1,0.66
49,Watch,334.01,0.62
50,Bed,433.7,1.96
